gene,log2FoldChange,stat,pvalue,padj
ENSG00000150687,1.1246881,1.0,2.7044432,0.2607212221404005
ENSG00000253106,1.1244402,1.0,2.1999524,0.2608263420688327
ENSG00000099326,1.1244402,1.0,1.0565898,0.2608263420688327
ENSG00000162981,1.1242486,1.0,2.0797136,0.2609075911804425
ENSG00000161217,1.123144,1.0,1.6400745,0.26137630971505055
ENSG00000087470,1.1221185,1.0,0.83763576,0.26181206930643963
ENSG00000162852,1.1216226,1.0,1.4674765,0.26202294620895583
ENSG00000005436,1.1202701,1.0,1.2750691,0.26259866138751675
ENSG00000107164,1.1184106,1.0,1.1148595,0.2633916951358929
ENSG00000135097,1.1182414,1.0,24.735697,0.26346387097378765
ENSG00000102445,1.1170919,1.0,3.483683,0.26395502858211783
ENSG00000233554,1.1167538,1.0,2.821817,0.2640996068080108
ENSG00000018280,1.1166524,1.0,3.003134,0.26414299092277205
ENSG00000204054,1.1165735,1.0,2.7687902,0.2641767375206031
ENSG00000143257,1.116303,1.0,2.6950195,0.26429246271133644
ENSG00000245293,1.1162128,1.0,2.6663852,0.2643310455410488
ENSG00000088727,1.1153563,1.0,1.0378593,0.26469777610859435
ENSG00000170075,1.1153338,1.0,2.2176263,0.2647074316462503
ENSG00000129116,1.1152098,1.0,1.8563884,0.26476054144248484
ENSG00000160685,1.1145335,1.0,2.01182,0.2650503605113811
ENSG00000100124,1.1144885,1.0,1.8801981,0.2650696895515312
ENSG00000179528,1.1144546,1.0,1.9190116,0.2650841869689706
