gene,pval,qval,log2fc,mean,zero_mean,grad,ll
ENSG00000163902,0.0,0.0,1.8094590463274551,0.1758239531412166,False,2.0241401593117074e-09,-3495.076542542937
ENSG00000164022,1.5697059208008566e-09,2.333598416383469e-09,1.5040773967762735,0.1063616088068073,False,3.956464963065784e-10,-2600.5316223734435
ENSG00000164051,5.530940150322293e-10,8.346388600335752e-10,-2.025540080286059,0.0968323736771192,False,2.7057879438223357e-10,-2421.411882099564
ENSG00000164162,0.0,0.0,2.105116685153767,0.0627406361563359,False,1.862864416943541e-10,-1718.353107888919
ENSG00000164442,0.0,0.0,2.145931282948668,0.1440954889660753,False,5.677990833350296e-10,-2865.41410634492
ENSG00000164754,0.0,0.0,-1.3799214850017665,0.1566031183856305,False,4.737217604678725e-09,-3203.013975783761
ENSG00000164924,1.1102230246251563e-15,2.0300063333474578e-15,1.964361254869448,0.2951056541527201,False,4.736469099984567e-10,-5149.597092606526
ENSG00000164933,0.0,0.0,-1.6575343190602356,0.0567423123531177,False,0.0245957386840541,-108.49833170616532
ENSG00000165637,0.0002104841582624,0.0002534917386766,1.3827917297350567,0.2273125473847313,False,4.993687976542105e-09,-4297.495948955639
ENSG00000165672,0.000627301552028,0.0007308792501536,2.944438979166439,0.0236679282757849,False,1.7271817860196187e-11,-827.704925687614
ENSG00000166225,2.64762743381608e-05,3.3161533608546404e-05,5.834810737062601,0.0097294415567106,False,5.370011895777157e-11,-397.40747170231714
ENSG00000166337,0.0,0.0,1.4928538144933978,0.3973070433318384,False,2.1863640601141536e-09,-6094.325263109369
ENSG00000166598,0.0,0.0,1.571737514215314,0.8183610159466839,False,3.991173710544062e-09,-7465.242363786887
ENSG00000166710,0.0,0.0,-0.8061373150689839,0.7792559440423851,False,2.3833208113709283e-09,-8824.845630004857
ENSG00000166889,1.4553167859698848e-07,2.003059642227781e-07,2.46751490707613,0.0583766493402638,False,1.0499490648566556e-10,-1664.5912678136772
ENSG00000166938,0.0025569389731475,0.002918055639059,3.637586159726384,0.0167268155718364,False,3.9499491834771303e-10,-624.1318340887506
ENSG00000166974,0.0,0.0,2.743768283704288,0.0249233587128503,False,1.4781183588377118e-10,-800.7951621861075
ENSG00000167005,3.7228991567328507e-07,5.027419076881828e-07,3.3441317526817875,0.0144788943716192,False,2.171625235678812e-07,-545.9470069231671
ENSG00000167476,0.0,0.0,-0.8489025644908063,5.023526477528527,False,2.4276608460018387e-10,-19897.429040575866
ENSG00000167552,0.0,0.0,2.423230960718237,0.0308746518280471,False,2.760419595880008e-12,-970.360348461608
ENSG00000167553,0.0,0.0,-1.7560332288096792,0.1403076120044161,False,5.326802261785266e-09,-2767.407878821952
ENSG00000167658,0.0,0.0,-0.8339455081454406,2.195998471084792,False,3.761148506696776e-09,-14426.736415648113
ENSG00000167671,6.891712675205497e-06,8.921829587281535e-06,3.269861379601067,0.0383313341361911,False,1.2996179158663472e-10,-1191.023829531251
ENSG00000167840,9.598349892669944e-10,1.4397524839004914e-09,3.0015973930063877,0.0227242436358789,False,0.0248874969747651,0.0
ENSG00000167995,0.0,0.0,1.5132427907339372,20.21560927667642,False,2.49805041079141e-09,-28329.2723214944
ENSG00000167996,0.0,0.0,0.9154220158085724,0.5739319875278299,False,5.6910662788656494e-09,-7648.078703884483
ENSG00000168216,0.0049429208404465,0.005615427077242,2.9951164425903167,0.0252665749701504,False,1.2439985737072035e-10,-876.9098682636015
ENSG00000168298,0.0,0.0,-2.3194245729629444,0.3993431340848924,False,2.1190678374847586e-08,-5112.637469871161
ENSG00000168374,6.661338147750939e-16,1.2224653523894579e-15,2.615934912194403,0.2001700304869642,False,2.804103476035103e-10,-4014.429522294444
ENSG00000168385,2.2619242256993743e-08,3.2011978448457255e-08,2.6156512724617977,0.1011459607483009,False,5.7014692520963183e-11,-2504.8902255326075
ENSG00000168439,0.0074380909005373,0.0083859721236468,2.073610621369041,0.0911030518798415,False,3.818010994290452e-11,-2301.3567063316264
ENSG00000168575,0.0003184674571649,0.0003789838385739,3.23212105161822,0.07985030978076,False,6.361465228547865e-10,-2114.947516767083
ENSG00000169375,0.0096219700298645,0.0107843556710562,2.576714199041122,0.0572934287771389,False,3.1642398514636976e-10,-1658.300816542305
ENSG00000169446,0.0,0.0,2.5026062268874005,0.0615087298413967,False,1.43414594911355e-11,-1701.6390481002811
ENSG00000169504,0.0,0.0,-3.605242132277046,0.0976695637421601,False,3.579224591649372e-11,-1823.8516111032625
ENSG00000169902,0.0,0.0,4.736198448394495,0.0141943222710915,False,1.6387518156776375e-10,-420.6266525008412
ENSG00000170242,6.339373470609645e-14,1.0951814168191144e-13,3.81514011937898,0.0366373272950563,False,1.2904962399541639e-11,-1133.5536967869905
ENSG00000170248,0.0,0.0,2.699316521133454,0.1519762211786212,False,1.001246758883658e-09,-3303.3365575541875
ENSG00000170345,0.0,0.0,1.032234865614077,0.6437875756887885,False,7.234922788972179e-09,-7869.650996832575
ENSG00000170776,0.0,0.0,1.311035791228278,0.1651233219605286,False,1.1844238617046806e-09,-3511.711773251081
ENSG00000170919,0.0,0.0,3.071098478755812,0.6553619319835449,False,6.617290930745977e-10,-7904.267499361823
ENSG00000171310,0.0,0.0,-4.593689327750059,0.0251899240303878,False,2.0007452939689532e-11,-697.161847919441
ENSG00000171316,1.4895497546518754e-06,1.974244516086216e-06,-2.5357699575646624,0.0488964026605413,False,1.0726936706443658e-09,-1449.801012981224
ENSG00000171863,0.0,0.0,-1.0439438512498187,0.0942950783647208,False,1.9513329016744387e-10,-2356.2946250321784
ENSG00000171867,0.0,0.0,2.46751490707613,0.0662401705984273,False,1.6670964125561828e-10,-1529.2073146244345
ENSG00000172071,0.0,0.0,-1.795650524721022,0.1080469072169688,False,4.170552883871037e-11,-2257.894350007416
ENSG00000172404,0.0184192870762508,0.0203261295709287,3.3499040872746035,0.0452477967486482,False,5.2714021578672524e-11,-1388.937974029902
ENSG00000172465,0.0005954255821106,0.000695357148339,4.736198448394494,0.0101292816365732,False,5.288333049069956e-12,-414.87069058448384
ENSG00000172466,1.9229062786507714e-13,3.24369038923918e-13,2.145931282948668,0.0612897077242914,False,3.366657407396495e-10,-1710.891073604599
ENSG00000172757,0.011895170455405,0.013302411603031,1.235756344053214,0.248243902897179,False,9.843495004325159e-11,-4606.286155885556
ENSG00000172803,0.0,0.0,-1.272307082430326,1.8930135038696845,False,7.264758559357411e-09,-13253.83559359624
ENSG00000172890,0.0177941125743086,0.0196795814563545,3.398693118677029,0.0341683076116177,False,8.543578896388007e-11,-1117.946608964498
ENSG00000173273,1.013793347448555e-05,1.2956899670197091e-05,3.125668563346254,0.0194046004415531,False,1.0026407616729111e-10,-700.4635066013666
ENSG00000173486,0.0,0.0,3.383805626618289,0.046398859019758,False,4.7553207106789694e-09,-1244.9186416529049
ENSG00000173812,0.0,0.0,-0.8877552266206461,0.4999586569024174,False,1.003447852675055e-09,-6878.41555780056
ENSG00000174428,8.431486888427209e-05,0.0001035336992917,3.0164125174900667,0.0099049082664393,False,0.0003050522535302,-398.0968167952022
ENSG00000174780,0.0,0.0,1.600704232465345,0.1084769823091055,False,5.284079542708084e-10,-2471.3045539993464
ENSG00000175029,0.0,0.0,3.001597393006388,0.1304681737521569,False,1.9716980793064682e-10,-2965.485031731525
ENSG00000175220,1.1102230246251563e-16,2.0754542363328483e-16,3.88890058800729,0.0273202871694003,False,7.665036759686423e-11,-907.7649594093696
ENSG00000176124,1.0361902125666234e-05,1.3209447747986726e-05,4.419168889808835,0.024549527454232,False,1.6527740654575083e-10,-844.8206764911331
ENSG00000176472,0.0,0.0,3.0778088616725143,1.0873369248144504,False,1.0272237701068928e-08,-9420.797864244263
ENSG00000177311,0.0,0.0,2.073610621369041,0.1868170496182101,False,2.1458490785288423e-10,-3527.9809690596594
ENSG00000177606,0.0,0.0,1.0711428712429112,1.5869455168195743,False,7.983638205867255e-08,-11827.999675167684
